Airline_ID,Name,IATA,ICAO
2556,Ghana International Airlines,G0,GHB
2575,Go Air,G8,GOW
2577,GoJet Airlines,G7,GJS
2581,Gol Transportes Aéreos,G3,GLO
2585,Golden Air,DC,GAO
2607,Great Lakes Airlines,ZK,GLA
2622,Grupo TACA,TA,TAT
2637,Gulf Air,,GFA
2638,Gulf Air Bahrain,GF,GBA
2645,Gulfstream International Airlines,,GFT
2657,Hageland Aviation Services,H6,HAG
2660,Hainan Airlines,HU,CHH
2663,Haiti Ambassador Airlines,2T,HAM
2674,Hamburg International,4R,HHI
2681,TUIfly,X3,HLX
2682,Hapagfly,HF,HLF
2688,Hawaiian Airlines,HA,HAL
2692,Hawkair,BH,
2704,Heli France,8H,HFR
2731,Helijet,JB,JBA
2747,Hellas Jet,T4,HEJ
2748,Hello,HW,FHE
2750,Helvetic Airways,2L,OAW
2757,Hex'Air,UD,HER
2761,Highland Airways,,HWY
2765,Hokkaido International Airlines,HD,ADO
2773,Hong Kong Airlines,HX,CRK
2774,Hong Kong Express Airways,UO,HKE
2778,Horizon Air,QX,QXE
2782,Horizon Airlines,BN,HZA
2822,Iberia Airlines,IB,IBE
2825,Iberworld,TY,IWD
2826,Ibex Airlines,FW,IBX
2829,Icar Air,,RAC
2835,Icelandair,FI,ICE
2845,Imair Airlines,IK,ITX
2850,IndiGo Airlines,6E,IGO
2853,Indian Airlines,IC,IAC
2855,Indigo,I9,IBU
2857,Indonesia AirAsia,QZ,AWQ
2858,Indonesian Airlines,IO,IAA
2881,Interair South Africa,D6,ILN
2883,Interavia Airlines,ZA,SUW
2896,Interlink Airlines,ID,ITK
2916,Intersky,3L,ISK
2922,Iran Air,IR,IRA
2923,Iran Aseman Airlines,EP,IRC
2926,Iraqi Airways,IA,IAW
2937,Island Airlines,IS,
2942,Cargo Plus Aviation,8L,CGP
2948,Islas Airways,IF,ISW
2950,Islena De Inversiones,WC,ISV
2954,Israir,6H,ISR
2958,Itek Air,GI,IKA
2969,JAL Express,JC,JEX
2970,JALways,JO,JAZ
2987,Japan Airlines,JL,JAL
2988,Japan Airlines Domestic,JL,JAL
2989,Japan Asia Airways,EG,JAA
2990,Japan Transocean Air,NU,JTA
2991,Jat Airways,JU,JAT
2993,Jazeera Airways,J9,JZR
2994,Jeju Air,7C,JJA
3000,Jet Airways,9W,JAI
3001,Jet Airways,QJ,
3021,Jetstar Asia Airways,3K,JSA
3026,Jet2.com,LS,EXS
3027,Jet4You,8J,JFU
3029,JetBlue Airways,B6,JBU
3032,Jetairfly,JF,JAF
3039,Jetflite,,JEF
3052,Jetstar Airways,JQ,JST
3081,Juneyao Airlines,HO,DKH
3087,KD Avia,KD,KNI
3088,KLM Cityhopper,WA,KLC
3090,KLM Royal Dutch Airlines,KL,KLM
3097,Kam Air,RQ,KMF
3110,Kavminvodyavia,KV,MVD
3122,Kendell Airlines,,KDA
3123,Kenmore Air,M5,KEN
3126,Kenya Airways,KQ,KQA
3142,Kingfisher Airlines,IT,KFR
3148,Kish Air,Y9,IRK
3157,Kogalymavia Air Company,7K,KGL
3163,Korean Air,KE,KAL
3165,Kosmos,,KSM
3168,Krasnojarsky Airlines,7B,KJC
3175,Kuban Airlines,GW,KIL
3179,Kuwait Airways,KU,KAC
3180,Kuzu Airlines Cargo,GO,KZU
3197,LACSA,LR,LRC
3200,LAN Airlines,LA,LAN
3201,LAN Argentina,4M,DSM
3204,LAN Express,LU,LXP
3205,LAN Peru,LP,LPE
3210,LOT Polish Airlines,LO,LOT
3211,LTE International Airways,XO,LTE
3212,LTU Austria,L3,LTO
3213,LTU International,LT,LTU
3233,Lao Airlines,QV,LAO
3237,LatCharter,,LTC
3239,Lauda Air,NG,LDA
3251,Leeward Islands Air Transport,LI,LIA
3258,Libyan Arab Airlines,LN,LAA
3287,Linhas A,LM,LAM
3290,Lion Mentari Airlines,JT,LNI
3319,Luftfahrtgesellschaft Walter,HE,LGW
3320,Lufthansa,LH,DLH
3321,Lufthansa Cargo,LH,GEC
3322,Lufthansa CityLine,CL,CLH
3326,Lufttransport,L5,LTR
3329,Luxair,LG,LGL
3342,L,MJ,LPR
3349,MasAir,M7,MAA
3350,MAT Macedonian Airlines,IN,MAK
3354,MIAT Mongolian Airlines,OM,MGL
3357,MNG Airlines,MB,MNB
3363,Macair Airlines,CC,MCK
3366,Maersk,DM,
3370,Mahan Air,W5,IRM
3378,Malaysia Airlines,MH,MAS
3384,Malmo Aviation,,SCW
3386,Malmö Aviation,TF,SCW
3387,Malta Air Charter,R5,MAC
3389,Malév,MA,MAH
3391,Mandala Airlines,RI,MDL
3392,Mandarin Airlines,AE,MDA
3393,Mango,JE,MNO
3411,Martinair,MP,MPH
3432,Maxair,8M,MXL
3437,Maya Island Air,MW,MYD
3463,Meridiana,IG,ISS
3465,Merpati Nusantara Airlines,MZ,MNA
3466,Mesa Airlines,YV,ASH
3467,Mesaba Airlines,XJ,MES
3479,Mexicana de Aviaci,MX,MXA
3490,Middle East Airlines,ME,MEA
3494,Midway Airlines,JI,MDW
3497,Midwest Airlines,YX,MEP
3498,Midwest Airlines (Egypt),MY,MWA
3529,Moldavian Airlines,2M,MDV
3532,Monarch Airlines,ZB,MON
3534,Myway Airlines,8I,
3539,Montenegro Airlines,YM,MGX
3542,Morningstar Air Express,,MAL
3545,Moskovia Airlines,3R,GAI
3547,Motor Sich,M9,MSI
3568,MyTravel Airways,VZ,MYT
3569,Myanma Airways,UB,UBA
3570,Myanmar Airways International,8M,MMM
3571,Myflug,,MYA
3589,Nasair,UE,NAS
3608,National Jet Systems,NC,NJS
3613,Nationwide Airlines,CE,NTW
3618,Nauru Air Corporation,ON,RON
3637,Nepal Airlines,RA,RNA
3641,NetJets,1I,EJA
3644,New England Airlines,EJ,NEA
3652,NextJet,2N,NTJ
3661,Niki,HG,NLY
3674,Nok Air,DD,NOK
3684,Norfolk County Flight College,,NCF
3693,North American Airlines,,NTM
3694,North American Charters,,HMR
3721,Northern Dene Airways,U7,
3731,Northwest Airlines,NW,NWA
3734,Northwestern Air,J3,PLR
3737,Norwegian Air Shuttle,DY,NAX
3738,Norwegian Aviation College,,TFN
3740,Nouvel Air Tunisie,BJ,LBT
3743,Novair,1I,NVR
3754,Nas Air,XY,KNE
3759,Oasis Hong Kong Airlines,O8,OHK
3760,Ocean Air,,BCN
3764,Oceanair,O6,ONE
3765,Oceanic Airlines,O2,
3776,Olympic Airlines,OA,OAL
3778,Oman Air,WY,OMA
3781,Omni Air International,OY,OAE
3785,One Two Go Airlines,,OTG
3788,Onur Air,8Q,OHY
3805,Orenburg Airlines,R2,ORB
3811,Orient Thai Airlines,OX,OEA
3814,Origin Pacific Airways,QO,OGN
3822,Ostfriesische Lufttransport,OL,OLT
3826,Overland Airways,OJ,OLA
3831,Ozjet Airlines,O7,OZJ
3834,PAN Air,PV,PNR
3835,PB Air,9Q,PBA
3839,PLUNA,PU,PUA
3840,PMTair,U4,PMT
3850,Jetstar Pacific,BL,PIC
3856,Pacific Coastal Airline,8P,PCO
3857,Pacific East Asia Cargo Airlines,Q8,PEC
3860,Pacific Island Aviation,,PSA
3865,Pacific Wings,LW,NMI
3871,Pakistan International Airlines,PK,PIA
3907,Paramount Airways,I7,PMW
3914,Passaredo Transportes Aereos,,PTB
3926,Pegasus Airlines,PC,PGT
3935,Peninsula Airways,KS,PEN
3952,Philippine Airlines,PR,PAL
3969,Piedmont Airlines (1948-1989),PI,PDT
3976,Pinnacle Airlines,9E,FLG
3995,Polet,,POT
4013,Polynesian Airlines,PH,PAO
4021,Porter Airlines,PD,POE
4022,Portugalia,NI,PGA
4026,Potomac Air,BK,PDC
4031,Precision Air,PW,PRF
4056,Privatair,,PTI
4066,Proflight Commuter Services,P0,
4089,Qantas,QF,QFA
4091,Qatar Airways,QR,QTR
4106,RACSA,R6,
4113,Kinloss Flying Training Unit,,KIN
4177,Regional Airlines,FN,
4178,Regional Express,ZL,RXA
4187,Republic Airlines,RW,RPA
4188,Republic Express Airlines,RH,RPH
4232,Rossiya,R4,
4234,Air Rarotonga,GZ,RAR
4248,Royal Air Maroc,AT,RAM
4255,Royal Brunei Airlines,BI,RBA
4259,Royal Jordanian,RJ,RJA
4264,Royal Nepal Airlines,RA,RNA
4270,Royal Phnom Penh Airways,,PPW
4283,Rusline,,RLU
4292,Rwandair Express,WB,RWD
4294,Ryan Air Services,,RYA
4295,Ryan International Airlines,RD,RYN
4296,Ryanair,FR,RYR
4299,Régional,YS,RAE
4304,SATA International,S4,RZO
4305,South African Airways,SA,SAA
4311,Shaheen Air International,NL,SAI
4319,Scandinavian Airlines System,SK,SAS
4323,ScotAirways,,SAY
4329,S7 Airlines,S7,SBI
4335,Seaborne Airlines,BB,SBS
4342,Scenic Airlines,,SCE
4349,SriLankan Airlines,UL,ALK
4356,Sun Country Airlines,SY,SCX
4370,Southeast Air,,SEA
4374,Sky Express,G3,SEH
4375,Spicejet,SG,SEJ
4388,Star Flyer,7G,SFJ
4411,Skagway Air Service,N5,SGY
4414,Sahara Airlines,,SHD
4429,SATA Air Acores,SP,SAT
4435,Singapore Airlines,SQ,SIA
4436,Sibaviatrans,5M,SIB
4438,Skynet Airlines,SI,SIH
4454,Sriwijaya Air,SJ,SJY
4455,Sama Airlines,ZS,SMY
4464,Singapore Airlines Cargo,SQ,SQC
4469,Siem Reap Airways,FT,SRH
4475,South East Asian Airlines,DG,SRQ
4496,Skyservice Airlines,5G,SSV
4513,Servicios de Transportes A,FS,STU
4521,Sudan Airways,SD,SUD
4533,Saudi Arabian Airlines,SV,SVA
4547,Southwest Airlines,WN,SWA
4550,Southern Winds Airlines,A4,SWD
4559,Swiss International Air Lines,LX,SWR
4560,Swissair,SR,SWR
4563,Swiss European Air Lines,,SWU
4564,Swe Fly,WV,SWV
4573,SunExpress,XQ,SXS
4586,Syrian Arab Airlines,RB,SYR
4589,Skywalk Airlines,AL,SYX
4599,Shandong Airlines,SC,CDG
4606,SAS Braathens,,CNO
4607,Spring Airlines,9S,CQH
4608,Sichuan Airlines,3U,CSC
4609,Shanghai Airlines,FM,CSH
4611,Shenzhen Airlines,ZH,CSZ
4619,Sun D'Or,7L,ERO
4620,SkyEurope,NE,ESK
4640,Sky Europe Airlines,,HSK
4652,Spanair,JK,JKK
4687,Spirit Airlines,NK,NKS
4691,SATENA,9R,NSE
4702,Skywest Airlines,,OZW
4735,Santa Barbara Airlines,S3,BBR
4737,Sky Airline,H2,SKU
4738,SkyWest,OO,SKW
4739,Skyways Express,JZ,SKX
4740,Skymark Airlines,BC,SKY
4750,SilkAir,MI,SLK
4752,Surinam Airways,PY,SLM
4776,Sterling Airlines,NB,SNB
4781,Skynet Asia Airways,6J,SNJ
4797,Solomon Airlines,IE,SOL
4804,Southern Airways,,SOU
4805,Saratov Aviation Division,6W,SOV
4808,Sat Airlines,HZ,SOZ
4816,South Pacific Island Airways,,SPI
4822,Shuttle America,S5,TCF
4840,Scat Air,DV,VSV
4863,TAME,EQ,TAE
4867,TAM Brazilian Airlines,JJ,TAM
4869,TAP Portugal,TP,TAP
4870,Tunisair,TU,TAR
4889,Thai Air Cargo,T2,TCG
4896,Thomas Cook Airlines,FQ,TCW
4897,Thomas Cook Airlines,MT,TCX
4933,Trigana Air Service,,TGN
4936,Tiger Airways,TR,TGW
4937,Tiger Airways Australia,TT,TGW
4940,Thai Airways International,TG,THA
4946,Turk Hava Kurumu Hava Taksi Isletmesi,,THK
4947,Thai AirAsia,FD,AIQ
4951,Turkish Airlines,TK,THY
4957,Tajikistan International Airlines,,TIL
4965,Twin Jet,T7,TJT
4970,Translift Airways,,TLA
4981,Trans Mediterranean Airlines,TL,TMA
5002,Tiara Air,3P,TNM
5013,Thomsonfly,BY,TOM
5016,Tropic Air,PM,TOS
5020,TAMPA,QT,TPA
5038,TransAsia Airways,GE,TNA
5039,Transavia Holland,HV,TRA
5041,TACV,VR,TCV
5064,Transwest Air,9T,ABS
5067,Transaero Airlines,UN,TSO
5083,Turkmenistan Airlines,T5,TUA
5085,Tuninter,UG,TUI
5097,Travel Service,QS,TVS
5122,TUIfly Nordic,6B,BLX
5133,TAAG Angola Airlines,DT,DTA
5146,Turkish Air Force,,HVK
5156,TAM Mercosur,PZ,LAP
5160,Trans States Airlines,AX,LOF
5179,Tarom,RO,ROT
5187,Turan Air,3T,URN
5188,TRIP Linhas A,8R,TIB
5207,USA3000 Airlines,U5,GWY
5209,United Airlines,UA,UAL
5210,United Air Charters,,UAC
5234,Ural Airlines,U6,SVR
5251,UM Airlines,UF,UKM
5265,US Airways,US,USA
5268,US Helicopter,,USH
5271,UTair Aviation,UT,UTA
5279,United States Air Force,,AIO
5281,Uzbekistan Airways,HY,UZB
5282,Ukraine International Airlines,PS,AUI
5284,US Helicopter Corporation,UH,
5297,Valuair,VF,VLU
5301,Vasco Air,,VFC
5309,Vietnam Airlines,VN,HVN
5311,VIM Airlines,NN,MOV
5325,Volaris,Y4,VOI
5326,Volga-Dnepr Airlines,VI,VDA
5331,Virgin America,VX,VRD
5333,Virgin Express,TV,VEX
5335,Virgin Nigeria Airways,VK,VGN
5347,Virgin Atlantic Airways,VS,VIR
5350,Viva Macau,ZG,VVM
5351,Volare Airlines,VE,VLE
5352,Vueling Airlines,VY,VLG
5353,Vladivostok Air,XF,VLK
5354,Varig Log,LC,VLO
5360,Virgin Australia,VA,VOZ
5368,VRG Linhas Aereas,RG,VRN
5373,VASP,VP,VSP
5383,VLM Airlines,VG,VLM
5397,Wayraper,7W,
5399,WebJet Linhas A,WJ,WEB
5401,Welcome Air,2W,WLC
5411,West Coast Air,8O,
5416,WestJet,WS,WJA
5424,Western Airlines,WA,WAL
5439,Widerøe,WF,WIF
5447,Wind Jet,IV,JET
5451,Wings Air,IW,WON
5461,Wizz Air,W6,WZZ
5462,Wizz Air Hungary,8Z,WVL
5465,World Airways,WO,WOA
5479,XL Airways France,SE,SEU
5484,Xiamen Airlines,MF,CXA
5492,Yamal Airlines,YL,LLM
5496,Yemenia,IY,IYE
5501,Yuzhmashavia,,UMK
5510,Zanair,,TAN
5523,Zoom Airlines,Z4,OOM
5533,Tyrolean Airways,\N,TYR
5559,Maldivian Air Taxi,8Q,\N
5651,Royal Air Cambodge,VJ,RAC
5813,Air Mandalay,6T,\N
-1,Unknown,-,N/A
5982,Air Busan,BX,ABL
5584,Sky Express,XW,SXR
6196,Globus,GH,GLP
6222,Air Kazakhstan,9Y,KZK
6557,Japan Air System,JD,JAS
